      program_name  constant_write  var_write  read
656   program_9347               0          0     0
657   program_4519               0          0     0
658   program_4006              36         12     0
659   program_9744               0          0     0
660   program_8035              30         32    19
661   program_1100               8          0     0
662   program_4792               0          0     0
663   program_2678               0          0     0
664   program_3395              23         13     1
665   program_2097              48         43     1
666   program_4674              16          3     8
667   program_8189               0          0     0
668   program_7266              48         11     5
669   program_1522               0          0     0
670   program_6562              38         40    23
671   program_2823              21          6     2
672   program_7405               0          0     0
673   program_3556               0          0     0
674   program_4097               0          0     0
675   program_7786               0          0     0
676   program_2274               0          0     0
677    program_342               0          0     0
678    program_237              30          0     0
679   program_3348               0          0     0
680   program_1676              15          5     3
681   program_2242               0          0     0
682   program_2781               9          4     5
683   program_6300              21          3     0
684   program_4989               0          0     0
685   program_2977               0          0     0
686    program_633               5          1     2
687   program_1606              28         42    10
688   program_9894               0          0     0
689   program_1893              21          5     2
690    program_780              28          1     0
691   program_6278               0          0     0
692    program_264               0          0     0
693   program_2125              18          0     0
694   program_5368               0          0     0
695   program_7173               0          0     0
696   program_1879               0          0     0
697   program_8054              70          2     1
698   program_6148               0          0     0
699   program_3508              11          9     6
700   program_8744              16         19    20
701   program_8008               0          0     0
702   program_4447               0          0     0
703   program_5160              34         11     1
704   program_1945              28          7     0
705   program_6984               0          0     0
706   program_4050              20         27     0
707   program_9874               0          0     0
708   program_9401              10          6     0
709   program_3577               0          0     0
710   program_4453               0          0     0
711   program_1004               0          0     0
712   program_9266               0          0     0
713   program_8283               0          0     0
714    program_979              40          4     1
715    program_732               0          0     0
716   program_8695               0          0     0
717   program_3958              29         24     5
718   program_9794               0          0     0
719   program_8430              13          7     1
720   program_2314              11          3     0
721   program_4669               0          0     0
722   program_3814               0          0     0
723   program_7490               9         10    13
724   program_1692              20          4    14
725    program_931               0          0     0
726   program_3805              11          0     0
727   program_2076               0          0     0
728   program_8068              26          0     0
729   program_6625              31          0     0
730   program_4004              25         41    21
731   program_5990              57         44    10
732   program_9052               0          0     0
733   program_3644              18         20     4
734   program_4124              13          0     0
735   program_4886               0          0     0
736   program_9125               0          0     0
737   program_6383               0          0     0
738   program_7061              20         14    28
739   program_7372               6          1     0
740   program_2597              39          0     0
741   program_3044               0          0     0
742    program_940               7          7     5
743   program_2248              17          3     2
744    program_626              11          2     1
745   program_8643              61         24    19
746   program_6677               0          0     0
747   program_2215               4          0     0
748   program_6492              20         16     9
749   program_2004              23          4     3
750   program_9760               0          0     0
751   program_9856              58         35     9
752    program_586              30         19    39
753   program_8091               0          0     0
754   program_3897              30          0     0
755   program_3549               0          0     0
756   program_9854               8          0     0
757   program_2319               0          0     0
758   program_1560               0          0     0
759   program_3512               0          0     0
760   program_1191               0          0     0
761   program_4450               0          0     0
762   program_4325              16          5    13
763   program_6075               0          0     0
764   program_3723               0          0     0
765   program_4757               0          0     0
766    program_765               0          0     0
767   program_1720              51          0     0
768    program_133              26         28    10
769   program_4870               5          0     0
770   program_6843               0          0     0
771     program_60               0          0     0
772   program_6203              24          0     0
773   program_4297               0          0     0
774    program_667              44         33    30
775   program_5046              18          0     0
776   program_3005              30         25    21
777   program_9426               0          0     0
778   program_6550               0          0     0
779   program_8207              25          4     3
780   program_2348               0          0     0
781   program_8622               0          0     0
782   program_2840               0          0     0
783   program_3835              15         19    31
784    program_492               0          0     0
785   program_1759               0          0     0
786   program_4853              34         18     5
787   program_1611               0          0     0
788   program_9927              28          2     0
789   program_8938              66         33     2
790   program_1703              58         20    12
791   program_1689               0          0     0
792   program_8435               0          0     0
793   program_5167               0          0     0
794   program_7038               0          0     0
795   program_4363               0          0     0
796   program_9411              21          0     0
797   program_9919               0          0     0
798   program_6861              29          0     0
799   program_6362              39         49    12
800   program_7104               7         19     4
801   program_1494              10         12     3
802   program_3176              21          0     0
803   program_2129               7          0     0
804   program_4019               0          0     0
805   program_9942              29          9     2
806   program_1009              18          0     0
807   program_6540              80          9     0
808   program_1145               0          0     0
809   program_1691              25         21    12
810   program_4860               0          0     0
811   program_2765              37         13     4
812    program_230              22          8     1
813   program_9864              14          1     1
814   program_7053               8         20    15
815    program_585              21          8     0
816   program_3487              28          1     0
817   program_7522               0          0     0
818   program_7019              23         22     0
819   program_7411               0          0     0
820   program_7279              26          2     1
821   program_8364               0          0     0
822   program_6487               0          0     0
823   program_5831               0          0     0
824   program_1266               0          0     0
825   program_9251               0          0     0
826   program_9026               0          0     0
827    program_283               0          0     0
828   program_2962               0          0     0
829   program_3824              28         17     8
830   program_4536              13          3     4
831   program_9647              18          0     0
832   program_3356               0          0     0
833   program_7307              13          8    12
834    program_973               0          0     0
835   program_3150              35        124     6
836   program_7241               0          0     0
837   program_6511               0          0     0
838     program_46              16          9     5
839   program_1751              33         35    55
840   program_8292               0          0     0
841   program_1467              25         10    18
842   program_4196               0          0     0
843   program_8100               0          0     0
844   program_3580               0          0     0
845    program_542               0          0     0
846   program_6173              26         19     8
847   program_1283              33          0     0
848   program_2449              13          0     0
849   program_2609              73         10     1
850   program_4131              22         31    11
851   program_3656               0          0     0
852   program_7390              22          0     0
853   program_8350               0          0     0
854     program_49              33          0     0
855   program_6439              23         11     3
856   program_6442               0          0     0
857   program_6553              10         10     2
858   program_9816              25          9     4
859   program_9466              25         46     4
860   program_2610              10          0     0
861   program_9508              21         17    13
862   program_4444               0          0     0
863   program_3655               0          0     0
864   program_5055               0          0     0
