      program_name  constant_write  var_write  read
545    program_291              31          7     4
546   program_6413              34         16    17
547   program_2077               0          0     0
548   program_1421               0          0     0
549   program_2285               0          0     0
550   program_9310               0          0     0
551   program_7373              22          9     3
552   program_2001               0          0     0
553   program_4565              14          0     0
554   program_5277              22         21    10
555   program_6972               0          0     0
556   program_5591              34         21     5
557   program_4348              88         49    23
558   program_6820              46         22    29
559   program_9264              13          1     0
560   program_4614               0          0     0
561    program_145               0          0     0
562   program_8557               0          0     0
563   program_7278               3          1     1
564   program_9701              42         74    23
565   program_8860              29         11    10
566    program_511               0          0     0
567   program_8741               0          0     0
568   program_8146              11          1     0
569   program_1591               0          0     0
570   program_1330               0          0     0
571   program_6161               0          0     0
572   program_7428              58         39     7
573   program_8857              34        114    22
574   program_8304             317         27     6
575    program_803               0          0     0
576   program_1505              11          3     1
577   program_7188               0          0     0
578   program_1570              44          6     1
579   program_4868               0          0     0
580   program_9557              18          0     2
581   program_5158              17          3     2
582   program_1114               0          0     0
583   program_6147               0          0     0
584    program_717              38         17     9
585   program_6483              50          6     0
586   program_2416              33          0     0
587   program_3759              26          7     7
588    program_790               0          0     0
589   program_5049              27          0     0
590    program_972              84         18    21
591   program_3670               0          0     0
592   program_1588               0          0     0
593   program_4003              14          4     0
594   program_9585               0          0     0
595   program_7576              64         35    19
596   program_4044              14         25     7
597   program_9174               0          0     0
598   program_7292               2          1     2
599   program_1413              37         11     1
600   program_8670              10         77     1
601   program_1496               0          0     0
602   program_2419               0          0     0
603    program_515              64         20     4
604   program_1292               0          0     0
605   program_5651              13          9     2
606   program_6579               6          1     2
607   program_3198               4          3     0
608   program_3903               0          0     0
609    program_935               0          0     0
610   program_8576               0          0     0
611   program_8354              30          8     3
612   program_7749               0          0     0
613   program_7111              23         12    18
614   program_7956               0          0     0
615   program_3953              40         27    21
616    program_278              30          6     2
617    program_191              17          1     2
618   program_6453               0          0     0
619   program_3696               0          0     0
620   program_5012               0          0     0
621   program_7597               0          0     0
622   program_8226               0          0     0
623   program_8463               0          0     0
624   program_1870              23          1     1
625   program_5379               0          0     0
626   program_7505              19          4     2
627   program_2607               0          0     0
628   program_6256              20          8     6
629   program_8647               0          0     0
630   program_9343               0          0     0
631   program_7993               0          0     0
632   program_7350               0          0     0
633   program_4869               8          0     0
634    program_361               0          0     0
635   program_1594               0          0     0
636   program_5737               9          4     5
637   program_1334              12          3     2
638   program_9329             101          7     1
639   program_9559               0          0     0
640   program_6731              44          2     1
641   program_7377               0          0     0
642   program_1450               0          0     0
643    program_676              24          0     0
644   program_2692               0          0     0
645   program_7200               0          0     0
646   program_6670              26          0     0
647   program_6209              24         26    18
648   program_8669               0          0     0
649   program_3473              26          8     6
650   program_2234               0          0     0
651   program_8000               0          0     0
652   program_6489              30         23     6
653   program_7164               0          0     0
654   program_7394               0          0     0
655   program_8332              30          0     0
656   program_7220               0          0     0
657   program_5881               0          0     0
658   program_3577               0          0     0
659   program_5560              46         18     7
660   program_7243              18          2     4
661   program_6267               0          0     0
662   program_5341               0          0     0
663   program_7900              19         35    11
664   program_4623               0          0     0
665   program_6397              34          5     1
666   program_5186              29          2     1
667   program_9640               0          0     0
668    program_662               0          0     0
669   program_1786               5         21     1
670   program_3871              21         42    43
671   program_7802               0          0     0
672   program_6440              65         52     8
673   program_2868               0          0     0
674    program_868               0          0     0
675    program_734              33         18     6
676   program_2822               0          0     0
677   program_2718               0          0     0
678   program_9448               9         18    25
679   program_5217              19          6     0
680    program_346               0          0     0
681   program_1855              16          3     1
682   program_7932              28          0     0
683   program_5710              18         13     5
684   program_9235               3          2     2
685   program_7753               0          0     0
686   program_1814               0          0     0
687   program_6962              70         56    46
688   program_5069               0          0     0
689   program_8997               9          4     0
690   program_7446              18          7    20
691   program_9956               0          0     0
692   program_2710              74         70    21
693   program_6509               0          0     0
694   program_6273              39          4     0
695   program_2277               0          0     0
696   program_9217              40         37    20
697   program_5798              26         18     8
698   program_1733              10          0     4
699   program_7222               8          0     0
700    program_689               0          0     0
701   program_4875               0          0     0
702   program_3097               0          0     0
703   program_2205               0          0     0
704   program_5083               0          0     0
705   program_6202               4         19     2
706   program_1904               0          0     0
707   program_2925               0          0     0
708   program_5115               4          2     1
709   program_8025               0          0     0
710   program_1571               0          0     0
711   program_9717              52         30     5
712   program_8676              47         15     7
713   program_5965               0          0     0
714    program_890               0          0     0
715   program_2228               0          0     0
716   program_3809              38         13     1
717   program_3603               0          0     0
718   program_4217              14         10     4
719   program_1488               0          0     0
720   program_7405               0          0     0
721   program_5431               0          0     0
722   program_2712               0          0     0
723   program_6694               0          0     0
724   program_3591               0          0     0
725   program_4497              36          4     1
726   program_4097               0          0     0
727   program_2059               0          0     0
728   program_9741              18         24     5
729   program_6665               7          4     2
730   program_8214               0          0     0
731   program_9430               0          0     0
732   program_1951               0          0     0
733   program_5957              37          1     2
734   program_8351              53          0     0
735   program_8299               0          0     0
736   program_1679               0          0     0
737   program_7038               0          0     0
738   program_3660               0          0     0
739   program_6300              21          3     0
740   program_4463              13          0     0
741    program_946               0          0     0
742   program_4918              40         22    22
743   program_1350               0          0     0
744   program_7632              14          0     0
745   program_2284               0          0     0
746    program_264               0          0     0
747   program_2672               0          0     0
748   program_7107               0          0     0
749   program_2350               0          0     0
750    program_233              31         98     4
751    program_212               0          0     0
752   program_8171               0          0     0
753   program_2577              10          1     3
754   program_9855               0          0     0
755    program_335               2          6     3
756   program_9241              34          4     2
757   program_9510              12          0     0
758   program_1758               0          0     0
759   program_2415               0          0     0
760   program_1363               0          0     0
761    program_214               0          0     0
762   program_4687              23          0     0
763   program_7271               0          0     0
764   program_9237              27         12    15
765   program_6887               0          0     0
766   program_7836               0          0     0
767   program_9394              22         14    29
768   program_5986              19          0     0
769   program_7621               0          0     0
770   program_4985              17          2     3
771   program_2146              14         21    11
772   program_6801              15          6    20
773   program_1628              15          0     0
774   program_5365               0          0     0
775   program_6425               0          0     0
776   program_1537               0          0     0
777   program_1313              22         24    19
778    program_280               0          0     0
779   program_6119               0          0     0
780   program_1110              35          2     1
781   program_6277               0          0     0
782   program_5140               0          0     0
783   program_2735              37          7     1
784   program_5641              54         13    37
785   program_4137               0          0     0
786   program_1694              16          1     2
787   program_9311             134          6     3
788   program_7820               0          0     0
789   program_9546               0          0     0
790   program_7480              62         28     0
791   program_7879              65          7     1
792   program_8389               0          0     0
793   program_5665             118        253    19
794   program_3024               0          0     0
795   program_1652              37         15     3
796   program_1377               0          0     0
797   program_2482               8          1     3
798   program_5878               0          0     0
799   program_9877               0          0     0
800   program_3777               0          0     0
801   program_4230              48         22    26
802   program_1090               0          0     0
803   program_6906              75          2     1
804   program_1258               0          0     0
805   program_3543               0          0     0
806   program_1459              29          0     0
807   program_6412              30          2     1
808   program_7577             156         25     7
809   program_3693              16         13     2
810   program_1440               0          0     0
811   program_9520               0          0     0
812   program_8655               0          0     0
813   program_4729               0          0     0
814   program_4776               6          2     0
815   program_3592               0          0     0
816   program_5200               0          0     0
817   program_7811               0          0     0
818   program_5250               0          0     0
819   program_8106              30         20     6
820   program_6086               0          0     0
821   program_4622              14          0     0
822   program_4439              29          9     3
823   program_8782               0          0     0
824   program_5516               0          0     0
825   program_4745               8          1     2
826   program_5738               0          0     0
827   program_5686               0          0     0
828   program_3451              15         28     2
829   program_5070               0          0     0
830   program_8808              23          4     4
831   program_2655              13         74     3
832   program_2827               0          0     0
833   program_5949              37         78    39
834   program_3360               9          8     0
835   program_1255               0          0     0
836   program_1058             265         71     0
837   program_1902               0          0     0
838   program_8266              12          6     5
839   program_8993             267        104     1
840   program_9280               0          0     0
841   program_3964              30          2     1
842   program_6110               0          0     0
843   program_5361              33         16     1
844   program_4873               9          2     0
845   program_7225              38        111     1
846   program_6947               0          0     0
847   program_6073               0          0     0
848    program_386               9          4     1
849   program_7378              23          2     1
850   program_8485              17          1     2
851   program_8633              39         14     2
852   program_8758              22         18     3
853   program_4180               0          0     0
854   program_9582              18          1     1
855   program_7938               0          0     0
856   program_8917               0          0     0
857   program_7016              26          1     1
858   program_1436              42          1     1
859   program_1223               0          0     0
860   program_5947               0          0     0
861   program_9046               0          0     0
862   program_5492              12          5    15
863   program_5795               0          0     0
864   program_3648              88        182    18
