,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
8902,50,36,35,34,47,16,14,14
8903,32,19,18,18,29,14,13,13
8904,52,33,31,31,42,12,12,12
8905,45,31,30,30,43,29,28,28
8906,25,11,11,10,22,13,10,10
8907,24,16,16,15,21,14,13,13
8908,65,16,16,16,57,11,11,11
8909,26,15,14,14,21,10,10,10
8910,60,37,37,37,50,18,14,14
8911,35,14,14,14,32,11,11,11
8912,29,13,13,13,26,9,9,9
8913,34,20,20,20,25,22,22,22
8914,36,20,19,19,31,16,15,15
8915,103,54,31,31,90,19,18,18
8916,22,15,15,15,21,12,10,10
8917,27,17,17,17,21,14,14,14
8918,33,19,14,14,23,12,12,12
8919,27,18,17,17,23,12,9,9
8920,24,11,9,9,21,9,9,9
8921,54,32,31,31,50,24,22,22
8922,44,28,26,26,41,17,16,16
8923,52,29,29,28,46,20,11,11
8924,19,15,14,14,18,13,10,10
8925,43,30,28,25,35,16,16,16
8926,19,14,14,14,16,9,9,9
8927,34,29,26,26,33,11,11,10
8928,73,16,15,15,46,10,10,10
8929,58,35,32,32,56,25,22,22
8930,25,17,17,17,21,10,10,10
8931,40,27,22,22,37,25,21,21
8932,37,12,12,12,36,12,12,12
8933,42,17,9,9,39,9,9,9
8934,61,43,39,39,47,29,17,17
8935,43,20,20,20,34,21,17,17
8936,36,29,27,27,29,22,15,15
8937,37,18,16,16,29,10,10,10
8938,46,18,14,13,42,10,10,10
8939,70,40,38,38,62,13,10,10
8940,35,12,10,10,27,10,10,10
8941,37,22,20,20,36,16,15,15
8942,46,26,23,23,43,14,13,13
8943,27,20,20,20,18,14,14,14
8944,70,22,15,15,56,18,10,10
