      program_name  constant_write  var_write  read
471   program_6139               4         95    10
472   program_6689              19          4     3
473   program_2319               0        279     2
474   program_8501               0        248     2
475   program_5109              23          0     0
476   program_2697              42         36    18
477   program_9090              32          6     1
478   program_6912               1        111     6
479   program_8668               1         85     5
480   program_5362              57         37    12
481   program_1932               4         14     5
482   program_5793              12          1     2
483   program_2040               6          0     0
484   program_8884               0        144     3
485    program_895               8        247     5
486   program_7540               4        109     8
487   program_2903              26          0     0
488   program_1287              19         10     6
489   program_1315               4         57    12
490   program_6941              26          0     1
491   program_7604               6         15     5
492    program_613               0         32     3
493   program_6676               3         79     9
494   program_2221              32          0     0
495    program_885              13        212     9
496   program_6120              32          2     1
497   program_8613               4        188     4
498   program_6221               8        242     8
499   program_9131               0         87     2
500   program_2683              24         22    12
501   program_1322               1         28     6
502    program_703               0         38     3
503   program_2439              10          0     2
504    program_929              74         30    12
505   program_2196              13          0     0
506   program_5950               1         49     2
507   program_2049               3        113     7
508   program_3682              36          2     1
509   program_1939              35         27     6
510   program_1141              30         11     0
511    program_271              17          6     1
512   program_8850              90          4     1
513   program_2339              28          9     0
514   program_8837               3         65     4
515   program_5759               2        248     4
516   program_6513               2         56    12
517   program_8687               7        706    17
518   program_7272              41         26     8
519   program_2445              26          0     0
520   program_2033              86          0     0
521   program_8375              25          1     0
522   program_1021               5          7     2
523   program_9810              21          6     9
524   program_2507              10          0     0
525   program_5834              10          0     0
526   program_3973              39         22    20
527   program_8353               2         25     5
528   program_2455               1        229     4
529   program_7994               9         13     4
530   program_8918              17          5     0
531   program_8756              19        335     9
532   program_9963               9          0     0
533   program_4212               2        225     3
534   program_4218               1        254     3
535   program_6778               7         18     4
536   program_8381              15          8     3
537   program_9051              27          9     0
538   program_6219              31         24    13
539   program_3433               0         80     3
540   program_7782              16          0     0
541   program_4823              29          4     5
542   program_8883              17          4     4
543   program_7290               1         91     3
544    program_726               0        159     2
545   program_4486               7          1     0
546   program_1510              11        123    11
547   program_6424               5         18     4
548   program_1070              56        233    45
549    program_291              23          3     2
550   program_6413              29          7     7
551   program_2077               3        131     9
552   program_1421               6          9     7
553   program_2285               0         32     2
554   program_9310               1        233     3
555   program_7373              20          8     6
556   program_2001               0         20     2
557   program_4565              14          0     0
558   program_5277              16         18    21
559   program_6972              44        521    32
560   program_5591              56         31     2
561   program_4348              68         40    24
562   program_6820              28          8     5
563   program_9264              10          1     0
564   program_4614               5        284    16
565    program_145               6        114     7
566   program_8557               9        138    13
567   program_7278               4          0     0
568   program_9701              37         55    25
569   program_8860              32          4     0
570    program_511               0          0     1
571   program_8741               1         65     2
572   program_8146              11          1     0
573   program_1591               0        118     2
574   program_1330               0         24     2
575   program_6161               3        186     3
576   program_7428              38         26     9
