,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
847,"{'nodes': 764, 'edges': 1309}","{'nodes': 1084, 'edges': 2043}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 751, 'edges': 1290}","{'nodes': 53, 'edges': 60}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
848,"{'nodes': 370, 'edges': 614}","{'nodes': 246, 'edges': 438}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 372, 'edges': 607}","{'nodes': 20, 'edges': 25}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
849,"{'nodes': 212, 'edges': 366}","{'nodes': 230, 'edges': 411}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 247, 'edges': 419}","{'nodes': 7, 'edges': 10}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
850,"{'nodes': 225, 'edges': 335}","{'nodes': 20, 'edges': 25}","{'nodes': 20, 'edges': 26}","{'nodes': 20, 'edges': 26}","{'nodes': 170, 'edges': 245}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
851,"{'nodes': 594, 'edges': 900}","{'nodes': 163, 'edges': 274}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 587, 'edges': 881}","{'nodes': 64, 'edges': 95}","{'nodes': 6, 'edges': 5}","{'nodes': 6, 'edges': 5}"
852,"{'nodes': 691, 'edges': 1037}","{'nodes': 10, 'edges': 11}","{'nodes': 12, 'edges': 15}","{'nodes': 10, 'edges': 11}","{'nodes': 668, 'edges': 999}","{'nodes': 10, 'edges': 11}","{'nodes': 10, 'edges': 11}","{'nodes': 10, 'edges': 11}"
853,"{'nodes': 1023, 'edges': 1586}","{'nodes': 13, 'edges': 16}","{'nodes': 13, 'edges': 16}","{'nodes': 13, 'edges': 16}","{'nodes': 1015, 'edges': 1567}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
854,"{'nodes': 735, 'edges': 1142}","{'nodes': 58, 'edges': 84}","{'nodes': 51, 'edges': 73}","{'nodes': 51, 'edges': 73}","{'nodes': 731, 'edges': 1120}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
855,"{'nodes': 359, 'edges': 569}","{'nodes': 159, 'edges': 281}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 1581, 'edges': 2521}","{'nodes': 33, 'edges': 56}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
856,"{'nodes': 552, 'edges': 872}","{'nodes': 358, 'edges': 665}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 574, 'edges': 894}","{'nodes': 30, 'edges': 47}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
857,"{'nodes': 261, 'edges': 417}","{'nodes': 132, 'edges': 231}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 251, 'edges': 399}","{'nodes': 16, 'edges': 21}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
858,"{'nodes': 1148, 'edges': 1787}","{'nodes': 16, 'edges': 21}","{'nodes': 16, 'edges': 21}","{'nodes': 16, 'edges': 21}","{'nodes': 1157, 'edges': 1797}","{'nodes': 10, 'edges': 11}","{'nodes': 10, 'edges': 11}","{'nodes': 10, 'edges': 11}"
859,"{'nodes': 1220, 'edges': 1923}","{'nodes': 130, 'edges': 221}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 1210, 'edges': 1885}","{'nodes': 33, 'edges': 53}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
860,"{'nodes': 2083, 'edges': 3231}","{'nodes': 292, 'edges': 492}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2120, 'edges': 3226}","{'nodes': 26, 'edges': 39}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
861,"{'nodes': 870, 'edges': 1390}","{'nodes': 307, 'edges': 543}","{'nodes': 6, 'edges': 5}","{'nodes': 6, 'edges': 5}","{'nodes': 844, 'edges': 1342}","{'nodes': 29, 'edges': 41}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
862,"{'nodes': 1471, 'edges': 2219}","{'nodes': 73, 'edges': 110}","{'nodes': 32, 'edges': 44}","{'nodes': 30, 'edges': 40}","{'nodes': 1700, 'edges': 2521}","{'nodes': 33, 'edges': 47}","{'nodes': 28, 'edges': 39}","{'nodes': 28, 'edges': 39}"
863,"{'nodes': 808, 'edges': 1269}","{'nodes': 361, 'edges': 653}","{'nodes': 6, 'edges': 5}","{'nodes': 6, 'edges': 5}","{'nodes': 754, 'edges': 1181}","{'nodes': 39, 'edges': 53}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
864,"{'nodes': 1364, 'edges': 2122}","{'nodes': 243, 'edges': 428}","{'nodes': 6, 'edges': 5}","{'nodes': 6, 'edges': 5}","{'nodes': 1354, 'edges': 2098}","{'nodes': 26, 'edges': 36}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
865,"{'nodes': 21, 'edges': 28}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 21, 'edges': 28}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
